file,output,best method(s),minimum cost
borehole_10d.csv,f_1,['gpy_mle0132_no'],136.456745434814
borehole_20d.csv,f_1,['gpy_mle0131_no'],120.838774134873
borehole_3d.csv,f_1,['gpy_mle0132_no'],84.4993353938226
borehole_5d.csv,f_1,['gpy_mle0131_no'],111.322261917273
branin_10d.csv,f_1,['gpy_mle0123_i'],87.2227104201106
branin_20d.csv,f_1,['gpy_mle0133_no'],118.204614470623
branin_3d.csv,f_1,['gpy_mle0132_no'],31.7098148142833
branin_5d.csv,f_1,"['gpy_mle0122_i', 'gpy_mle0122_no', 'gpy_mle0131_no', 'gpy_mle0132_no', 'gpy_mle0133_no']",52.367753235471
g10_10d.csv,f_1,['gpy_mle0133_no'],-59.1725624475753
g10_10d.csv,g_1,['gpy_mle0131_no'],-788.474752737105
g10_10d.csv,g_2,['gpy_mle0132_no'],-710.444393101818
g10_10d.csv,g_3,['gpy_mle0132_no'],-672.58014607406
g10_10d.csv,g_4,['gpy_mle0133_no'],773.816496748032
g10_10d.csv,g_5,['gpy_mle0133_no'],914.928151404364
g10_10d.csv,g_6,['gpy_mle0133_no'],892.93462742988
g10_20d.csv,f_1,['gpy_mle0133_no'],-220.556036300057
g10_20d.csv,g_1,['gpy_mle0133_no'],-1632.35780025955
g10_20d.csv,g_2,['gpy_mle0131_no'],-1513.69781019007
g10_20d.csv,g_3,['gpy_mle0133_no'],-1419.07383652677
g10_20d.csv,g_4,['gpy_mle0132_no'],1290.28723609386
g10_20d.csv,g_5,['gpy_mle0131_no'],1590.54556213598
g10_20d.csv,g_6,['gpy_mle0132_no'],1535.53718886419
g10_3d.csv,f_1,['gpy_mle0132_no'],44.0289866971942
g10_3d.csv,g_1,['gpy_mle0132_no'],-179.656018922077
g10_3d.csv,g_2,['gpy_mle0132_no'],-155.047417246187
g10_3d.csv,g_3,['gpy_mle0133_no'],-151.015377804526
g10_3d.csv,g_4,['gpy_mle0133_no'],307.465786374727
g10_3d.csv,g_5,['gpy_mle0131_no'],337.330461750073
g10_3d.csv,g_6,['gpy_mle0132_no'],333.959926510518
g10_5d.csv,f_1,['gpy_mle0121_no'],19.6426139179764
g10_5d.csv,g_1,['gpy_mle0132_no'],-355.751316799061
g10_5d.csv,g_2,['gpy_mle0132_no'],-313.777576947144
g10_5d.csv,g_3,['gpy_mle0132_no'],-289.059369443218
g10_5d.csv,g_4,['gpy_mle0133_no'],455.703429821389
g10_5d.csv,g_5,['gpy_mle0133_no'],517.171084093193
g10_5d.csv,g_6,['gpy_mle0132_no'],508.06192769037
g10mod_10d.csv,g_4,['gpy_mle0132_no'],239.088064304091
g10mod_10d.csv,g_5,['gpy_mle0131_no'],274.358719619259
g10mod_10d.csv,g_6,['gpy_mle0132_no'],233.225454734153
g10mod_20d.csv,g_4,['gpy_mle0133_no'],492.616798836417
g10mod_20d.csv,g_5,['gpy_mle0131_no'],521.884236083167
g10mod_20d.csv,g_6,['gpy_mle0122_i'],493.915286899462
g10mod_3d.csv,g_4,['gpy_mle0133_no'],307.465785326159
g10mod_3d.csv,g_5,['gpy_mle0131_no'],337.330307982123
g10mod_3d.csv,g_6,['gpy_mle0132_no'],333.959879875887
g10mod_5d.csv,g_4,['gpy_mle0133_no'],133.82504825744
g10mod_5d.csv,g_5,['gpy_mle0133_no'],126.167627345844
g10mod_5d.csv,g_6,['gpy_mle0133_no'],130.704523232991
g10modmod_10d.csv,g_4,['gpy_mle0123_i'],1418.39378260444
g10modmod_10d.csv,g_5,['gpy_mle0121_i'],1491.4687575878
g10modmod_10d.csv,g_6,['gpy_mle0121_i'],1462.43420624757
g10modmod_20d.csv,g_4,['gpy_mle0121_i'],2813.28411080471
g10modmod_20d.csv,g_5,['gpy_mle0121_i'],2928.69601333362
g10modmod_20d.csv,g_6,['gpy_mle0121_i'],2873.85101240338
g10modmod_3d.csv,g_4,['gpy_mle0123_i'],454.590752431749
g10modmod_3d.csv,g_5,['gpy_mle0123_i'],455.162926649222
g10modmod_3d.csv,g_6,['gpy_mle0121_i'],455.323941982097
g10modmod_5d.csv,g_4,['gpy_mle0123_i'],736.776566253813
g10modmod_5d.csv,g_5,['gpy_mle0123_i'],747.659800937975
g10modmod_5d.csv,g_6,['gpy_mle0121_i'],745.192252780877
weldedbeamdesign_10d.csv,f_1,"['gpy_mle0121_i', 'gpy_mle0121_no', 'gpy_mle0122_i', 'gpy_mle0122_no', 'gpy_mle0123_i', 'gpy_mle0123_no', 'gpy_mle0131_no', 'gpy_mle0132_no', 'gpy_mle0133_no']",
weldedbeamdesign_10d.csv,f_2,['gpy_mle0133_no'],190.125960524523
weldedbeamdesign_10d.csv,g_1,['gpy_mle0131_no'],152.614044050122
weldedbeamdesign_10d.csv,g_2,['gpy_mle0132_no'],338.270997493549
weldedbeamdesign_10d.csv,g_3,['gpy_mle0132_no'],-311.162570294052
weldedbeamdesign_10d.csv,g_4,['gpy_mle0123_i'],566.92207711618
weldedbeamdesign_20d.csv,f_1,['gpy_mle0123_no'],138.70384863982
weldedbeamdesign_20d.csv,f_2,['gpy_mle0132_no'],281.691301063338
weldedbeamdesign_20d.csv,g_1,['gpy_mle0122_i'],286.470834361989
weldedbeamdesign_20d.csv,g_2,['gpy_mle0132_no'],571.06202500487
weldedbeamdesign_20d.csv,g_3,['gpy_mle0132_no'],-721.168496123383
weldedbeamdesign_20d.csv,g_4,['gpy_mle0123_i'],1025.40654628976
weldedbeamdesign_3d.csv,f_1,['gpy_mle0122_i'],55.1416645727175
weldedbeamdesign_3d.csv,f_2,['gpy_mle0131_no'],0.044524289560435
weldedbeamdesign_3d.csv,g_1,['gpy_mle0132_no'],43.7884336361165
weldedbeamdesign_3d.csv,g_2,['gpy_mle0132_no'],69.4523159954007
weldedbeamdesign_3d.csv,g_3,['gpy_mle0132_no'],-58.6316517183378
weldedbeamdesign_3d.csv,g_4,['gpy_mle0133_no'],196.871592796167
weldedbeamdesign_5d.csv,f_1,['gpy_mle0132_no'],82.0892115945711
weldedbeamdesign_5d.csv,f_2,['gpy_mle0132_no'],63.1775393607013
weldedbeamdesign_5d.csv,g_1,['gpy_mle0133_no'],84.2841487080292
weldedbeamdesign_5d.csv,g_2,['gpy_mle0133_no'],134.096719042025
weldedbeamdesign_5d.csv,g_3,['gpy_mle0132_no'],-130.785830277862
weldedbeamdesign_5d.csv,g_4,['gpy_mle0133_no'],314.785958113532
