,row,output,mse,is_alpha_credible,log_lik,c_mean,c_var,post_mean,cost,status,post_var,y_test,ls_dim_1,ls_dim_2,ls_dim_3,ls_dim_4,ls_dim_5,ls_dim_6,ls_dim_7,ls_dim_8
0,0,g_4,456366947571403.4,1.0,-18.38251970254543,-91645126.2118364,8933708488571948.0,-95138191.36398548,1404.9029005464881,Converged,267130717808403.0,-116500938.08746192,5810.759575535288,38348324.37097801,40568341.05378654,1474.0526793725892,4412044.385317512,472.7458359932974,4791059.287941046,5550678.55116214
1,0,g_5,987015155804609.6,1.0,-19.059180694983358,11053579.447853627,1.3740487918136434e+16,-50989144.82366538,1475.4709609442625,Converged,355595287319526.0,-19572347.472493354,96753.04777464482,10318.780073300795,71604.30560980055,472.4040479533671,1820.1097136635467,74567.5944185008,435.5323741461554,86960.8210088459
2,0,g_6,68802725110751.68,1.0,-17.391806826627885,-7383990.320016671,1.364174278688547e+16,40909355.47731133,1446.3298965759602,Converged,106661022083248.0,32614614.66696941,144010.2062223106,159394.10323073674,9825.290478227764,382178.68744986795,622.8914160192853,383858.51252638426,370708.54143491015,377.229586560853
3,1,g_4,1557029754277.8923,1.0,-15.640681897259409,-91357738.2442899,8912736015277061.0,-140517932.39475182,1407.602767411685,Converged,4244546359548.0,-139270122.41151002,5554.547892513044,50671518.658907086,41424252.05767326,1536.3169493697606,43690682.61553888,476.11444148763593,37989248.044096984,37935124.80411747
4,1,g_5,77128591347347.23,1.0,-17.439091069987033,12455682.167913074,1.3497335001133062e+16,-121556218.86974818,1474.2311080744091,Converged,112765576633650.0,-130338507.37260136,305118.39946506295,10081.193730818684,206631.32766572502,488.1467967810206,1790.7333104578227,7141.064869645872,437.9915370177529,54967.94467873716
5,1,g_6,64784227029288.74,1.0,-17.497419552814858,-7946885.74900244,1.3571364596095672e+16,69034500.33039607,1446.2187260729838,Converged,30939302562448.0,77083365.28325053,149878.26778920038,164038.16085016745,9592.441102535462,399351.457719287,628.972404384152,399404.17016486987,381626.10760715767,383.34201786177294
6,2,g_4,1068141369929028.2,1.0,-19.406160557885475,-92903013.28189334,8869851606776921.0,15451527.90456608,1403.9446740529545,Converged,291053320830486.0,-17230904.225387596,5523.283000310641,7376216.130056332,6783947.641667953,1568.530899118666,9639876.15367509,485.59298265465475,8568501.1823292,8404242.460039567
7,2,g_5,526452197863490.2,1.0,-18.478700716887914,13196013.886144055,1.324205788493101e+16,-165880107.43357506,1476.179372200998,Converged,1114448962900126.0,-188824653.57995787,92423.90408950795,9914.55623611399,69115.26570287117,472.47644397775093,1785.7302097942095,96363.35212087848,423.480629254993,104153.46262786217
8,2,g_6,35975999452246.53,1.0,-17.10266968159051,-5839287.50902879,1.3574426141017476e+16,-83418917.5627146,1446.538835376145,Converged,66245906086042.0,-89416917.18360877,121307.52893694663,143622.39810749848,9833.080768766238,352982.435818103,624.2511092354245,363802.5557235727,339347.18939639215,383.8805083273547
9,3,g_4,72885940369.21991,1.0,-15.911509126539686,-90436655.66515312,8757174001502286.0,-212120051.6315517,1407.4498120245664,Converged,10455719559717.0,-211850077.6691605,5591.083019197458,59438927.587231666,74874619.62384863,1506.7233072123875,12013082.186371977,471.37285031862666,11476617.679725727,12089665.586432885
10,3,g_5,19429949627199.02,1.0,-17.142612213091546,9344241.385664083,1.3611434859101138e+16,111059746.26502624,1476.736654430671,Converged,102108875998794.0,115467687.91926794,818132.6247718106,9948.860982990622,41088.726017485336,469.3231261187316,1880.104227523267,482267.12838470575,439.12567819040277,595331.0711832708
11,3,g_6,6268626.948773761,1.0,-16.760290811369767,-5863679.396931458,1.3578455797823206e+16,-87492451.3030727,1446.9344547809465,Converged,57494157352000.0,-87489947.58045453,134026.81564469787,146984.4524253481,9759.596284301655,334194.9686077821,616.788106370287,332802.5468164946,325327.62387177383,383.27327730765415
12,4,g_4,76089894459387.98,1.0,-17.40237157604075,-94059274.08186315,8587748566937433.0,65426960.0948372,1406.2901971084818,Converged,83253981817723.0,74149912.25906394,5277.19839317611,12022829.259461693,11772961.782381678,1537.0607426761678,936669.1470220875,487.7392659673808,1379257.6315501665,1611601.369683959
13,4,g_5,4135391684555.6978,1.0,-17.922118711731894,9869417.986571766,1.370084121681945e+16,71942667.39790207,1473.744045589374,Converged,583034501988718.0,73976233.64579165,299418.72796108725,10202.400649610629,183871.74063044973,481.0469659452605,1785.5559880973933,7143.819113491106,444.3109265961625,39099.59448830169
14,4,g_6,140799325337894.6,1.0,-17.708159139626996,-5868897.072638383,1.357930540800385e+16,-75211867.24146928,1445.9996665334259,Converged,138985273771140.0,-87077756.39221962,140661.0479011702,153632.67634694788,9657.864385357014,381082.6205754939,614.8745819418435,379587.4762558861,369662.6905184653,390.75637902712367
